p1;p2
-8.09266;65.4963
-8.09228;65.4901
-8.0919;65.4839
-8.09151;65.4776
-8.09113;65.4714
-8.09075;65.4653
-8.09036;65.459
-8.08998;65.4528
-8.0896;65.4467
-8.08921;65.4404
-8.08882;65.4342
-8.08845;65.428
-8.08805;65.4218
-8.08768;65.4156
-8.0873;65.4094
-8.08691;65.4032
-8.08653;65.397
-8.08614;65.3908
-8.08575;65.3845
-8.08537;65.3784
-8.08499;65.3722
-8.08462;65.366
-8.08422;65.3597
-8.08384;65.3535
-8.08346;65.3474
-8.08307;65.3411
-8.08269;65.3349
-8.08231;65.3288
-8.08193;65.3226
-8.08154;65.3164
-8.08116;65.3102
-8.08076;65.3039
-8.08039;65.2977
-8.08;65.2915
-8.07963;65.2854
-8.07923;65.2791
-8.07885;65.2729
-8.07847;65.2668
-8.07809;65.2606
-8.07769;65.2543
-8.07732;65.2482
-8.07693;65.242
-8.07655;65.2357
-8.07616;65.2295
-8.07578;65.2233
-8.0754;65.2172
-8.07501;65.2109
-8.07463;65.2048
-8.07425;65.1986
-8.07387;65.1924
-8.07348;65.1861
-8.07309;65.1799
-8.07272;65.1738
-8.07233;65.1676
-8.07194;65.1614
-8.07156;65.1552
-8.07118;65.149
-8.0708;65.1429
-8.0704;65.1366
-8.07003;65.1304
-8.06964;65.1242
-8.06926;65.1181
-8.06888;65.1119
-8.06848;65.1056
-8.06811;65.0995
-8.06772;65.0933
-8.06735;65.0871
-8.06696;65.0809
-8.06657;65.0747
-8.06619;65.0685
-8.06581;65.0624
-8.06543;65.0562
-8.06505;65.05
-8.06465;65.0437
-8.06427;65.0376
-8.06389;65.0314
-8.06351;65.0252
-8.06312;65.019
-8.06273;65.0128
-8.06235;65.0067
-8.06197;65.0005
-8.06159;64.9943
-8.06121;64.9881
-8.06081;64.9818
-8.06043;64.9757
-8.06005;64.9696
-8.05967;64.9634
-8.05928;64.9572
-8.05889;64.9509
-8.05851;64.9447
-8.05813;64.9386
-8.05775;64.9324
-8.05737;64.9263
-8.05698;64.9201
-8.05661;64.9139
-8.05622;64.9077
-8.05583;64.9015
-8.05544;64.8953
-8.05507;64.8892
-8.05468;64.883
-8.0543;64.8768
-8.05392;64.8707
-8.05352;64.8644
-8.05314;64.8582
-8.05276;64.852
-8.05238;64.8459
-8.05199;64.8397
-8.05161;64.8336
-8.05123;64.8274
-8.05085;64.8212
-8.05045;64.8149
-8.05007;64.8088
-8.04969;64.8026
-8.04931;64.7965
-8.04892;64.7903
-8.04854;64.7841
-8.04816;64.7779
-8.04778;64.7718
-8.0474;64.7657
-8.047;64.7594
-8.04661;64.7532
-8.04623;64.747
-8.04586;64.7409
-8.04547;64.7347
-8.04509;64.7286
-8.0447;64.7224
-8.04432;64.7162
-8.04394;64.71
-8.04356;64.7039
-8.04317;64.6977
-8.04279;64.6916
-8.04241;64.6854
-8.04202;64.6792
-8.04163;64.673
-8.04125;64.6668
-8.04086;64.6606
-8.04048;64.6545
-8.0401;64.6483
-8.03972;64.6422
-8.03933;64.636
-8.03895;64.6298
-8.03857;64.6237
-8.03818;64.6175
-8.0378;64.6114
-8.03742;64.6052
-8.03704;64.599
-8.03665;64.5928
-8.03626;64.5866
-8.03587;64.5804
-8.03549;64.5743
-8.0351;64.5681
-8.03472;64.5619
-8.03433;64.5557
-8.03395;64.5496
-8.03357;64.5435
-8.03319;64.5373
-8.03281;64.5311
-8.03242;64.5249
-8.03204;64.5188
-8.03165;64.5126
-8.03127;64.5065
-8.03089;64.5003
-8.0305;64.4941
-8.03012;64.488
-8.02973;64.4818
-8.02935;64.4757
-8.02897;64.4695
-8.02859;64.4633
-8.0282;64.4572
-8.02782;64.451
-8.02744;64.4449
-8.02705;64.4387
-8.02667;64.4325
-8.02628;64.4263
-8.0259;64.4202
-8.02552;64.4141
-8.02513;64.4079
-8.02475;64.4017
-8.02436;64.3955
-8.02398;64.3894
-8.02361;64.3834
-8.02322;64.3772
-8.02283;64.3709
-8.02245;64.3648
-8.02207;64.3587
-8.02169;64.3526
-8.0213;64.3464
-8.02092;64.3402
-8.02053;64.334
-8.02015;64.3279
-8.01976;64.3217
-8.01938;64.3156
-8.019;64.3094
-8.01861;64.3032
-8.01823;64.2971
-8.01784;64.291
-8.01745;64.2848
-8.01707;64.2786
-8.01668;64.2724
-8.01631;64.2664
-8.01593;64.2603
-8.01554;64.2541
-8.01516;64.2479
-8.01478;64.2418
-8.01439;64.2356
-8.01401;64.2295
-8.01362;64.2233
-8.01324;64.2171
-8.01285;64.211
-8.01247;64.2048
-8.01208;64.1987
-8.01171;64.1926
-8.01132;64.1864
-8.01094;64.1803
-8.01055;64.1741
-8.01017;64.168
-8.00979;64.1618
-8.0094;64.1556
-8.00901;64.1495
-8.00864;64.1435
-8.00825;64.1373
-8.00787;64.1311
-8.00749;64.125
-8.0071;64.1188
-8.00672;64.1127
-8.00633;64.1065
8.13085;66.1157
8.13067;66.1119
8.13038;66.1071
8.13009;66.1025
8.1298;66.0978
8.12952;66.0932
8.12923;66.0885
8.12894;66.0839
8.12867;66.0793
8.12837;66.0746
8.12809;66.07
8.12781;66.0653
8.12752;66.0607
8.12723;66.056
8.12694;66.0513
8.12667;66.0468
8.12637;66.0421
8.12608;66.0374
8.1258;66.0328
8.12552;66.0282
8.12522;66.0234
8.12494;66.0188
8.12465;66.0142
8.12437;66.0095
8.12407;66.0048
8.1238;66.0003
8.12351;65.9956
8.12323;65.991
8.12294;65.9864
8.12265;65.9816
8.12236;65.977
8.12208;65.9724
8.1218;65.9677
8.1215;65.963
8.12123;65.9585
8.12094;65.9538
8.12065;65.9491
8.12037;65.9445
8.12008;65.9399
8.11979;65.9352
8.11951;65.9306
8.11922;65.9259
8.11893;65.9213
8.11865;65.9167
8.11836;65.912
8.11807;65.9073
8.11779;65.9027
8.11751;65.8981
8.11723;65.8935
8.11694;65.8888
8.11664;65.8841
8.11637;65.8796
8.11608;65.8749
8.11579;65.8702
8.1155;65.8656
8.11522;65.8609
8.11493;65.8563
8.11466;65.8517
8.11436;65.847
8.11407;65.8424
8.11379;65.8378
8.1135;65.8331
8.11321;65.8284
8.11293;65.8238
8.11265;65.8192
8.11236;65.8146
8.11208;65.8099
8.11178;65.8052
8.11151;65.8007
8.11122;65.796
8.11092;65.7913
8.11065;65.7868
8.11036;65.7821
8.11008;65.7775
8.10979;65.7728
8.1095;65.7681
8.10922;65.7636
8.10893;65.7589
8.10865;65.7543
8.10836;65.7497
8.10807;65.745
8.10779;65.7404
8.1075;65.7357
8.10721;65.731
8.10693;65.7265
8.10664;65.7218
8.10636;65.7172
8.10607;65.7126
8.10578;65.7079
8.1055;65.7033
8.10521;65.6986
8.10493;65.694
8.10464;65.6894
8.10435;65.6847
8.10407;65.6801
8.10378;65.6755
8.1035;65.6709
8.10321;65.6662
8.10292;65.6615
8.10264;65.6569
8.10235;65.6523
8.10207;65.6477
8.10178;65.643
8.10149;65.6383
8.10121;65.6338
8.10092;65.6291
8.10064;65.6245
8.10035;65.6199
8.10007;65.6153
8.09978;65.6106
8.09949;65.6059
8.09921;65.6014
8.09892;65.5967
8.09863;65.592
8.09835;65.5874
8.09807;65.5829
8.09778;65.5782
8.09749;65.5735
8.09721;65.5689
8.09692;65.5643
8.09664;65.5597
8.09635;65.555
8.09605;65.5503
8.09578;65.5458
8.09549;65.5411
8.0952;65.5365
8.09492;65.5319
8.09464;65.5273
8.09434;65.5226
8.09407;65.518
8.09378;65.5134
8.09349;65.5088
8.0932;65.5041
8.09291;65.4994
8.09263;65.4949
8.09234;65.4902
8.09207;65.4857
8.09177;65.4809
8.09149;65.4764
8.0912;65.4717
8.09092;65.4671
8.09063;65.4625
8.09034;65.4578
8.09006;65.4532
8.08977;65.4486
8.08948;65.4439
8.0892;65.4393
8.08892;65.4347
8.08862;65.43
8.08835;65.4255
8.08806;65.4208
8.08777;65.4162
8.08748;65.4116
8.08721;65.407
8.08691;65.4023
8.08663;65.3977
8.08634;65.3931
8.08606;65.3885
8.08577;65.3838
8.08549;65.3793
8.0852;65.3746
8.08491;65.3699
8.08463;65.3654
8.08433;65.3607
8.08405;65.3561
8.08377;65.3515
8.08348;65.3468
8.08319;65.3422
8.08291;65.3376
8.08262;65.3329
8.08234;65.3284
8.08205;65.3237
8.08176;65.3191
8.08148;65.3145
8.0812;65.3099
8.0809;65.3052
8.08062;65.3006
8.08033;65.296
8.08005;65.2914
8.07976;65.2867
8.07948;65.2822
8.07918;65.2775
8.07891;65.2729
8.07862;65.2683
8.07833;65.2636
8.07805;65.2591
8.07776;65.2544
8.07747;65.2497
8.07719;65.2452
8.0769;65.2405
8.07662;65.236
8.07632;65.2313
8.07605;65.2267
8.07576;65.2221
8.07547;65.2174
8.07519;65.2129
8.0749;65.2082
8.07463;65.2037
8.07433;65.199
8.07405;65.1944
8.07376;65.1898
8.07347;65.1852
8.07318;65.1805
8.07291;65.176
8.07261;65.1712
8.07233;65.1667
8.07204;65.162
8.07175;65.1574
8.07148;65.1529
8.07119;65.1482
8.07091;65.1437
8.07061;65.139
8.07033;65.1344
8.07004;65.1298
8.06976;65.1251
8.06947;65.1205
8.06919;65.1159
8.06889;65.1112
8.06861;65.1067
8.06832;65.102
8.06804;65.0975
8.06776;65.0929
8.06747;65.0882
8.06719;65.0836
8.06689;65.0789
8.06661;65.0744
8.06632;65.0697
8.06604;65.0652
8.06574;65.0605
8.06546;65.0559
8.06519;65.0514
8.0649;65.0467
8.06461;65.0421
8.06432;65.0374
8.06404;65.0329
8.06374;65.0282
8.06346;65.0236
8.06318;65.0191
8.06289;65.0144
8.06261;65.0098
8.06232;65.0052
8.06204;65.0006
8.06176;64.9961
8.06146;64.9913
8.06118;64.9868
8.06089;64.9821
8.0606;64.9775
8.06032;64.973
8.06003;64.9683
8.05975;64.9638
8.05946;64.9591
8.05918;64.9545
8.05889;64.9499
8.0586;64.9452
8.05832;64.9407
8.05803;64.936
8.05775;64.9315
8.05745;64.9268
8.05717;64.9222
8.05689;64.9177
8.0566;64.913
8.05632;64.9084
8.05602;64.9038
8.05574;64.8992
8.05547;64.8946
8.05517;64.8899
8.05489;64.8854
8.0546;64.8807
8.05432;64.8762
8.05403;64.8716
8.05374;64.8669
8.05346;64.8624
8.05318;64.8578
8.05288;64.8531
8.0526;64.8485
8.05231;64.8439
8.05203;64.8393
8.05175;64.8348
8.05145;64.8301
8.05117;64.8255
8.05089;64.821
8.05059;64.8163
8.05031;64.8117
8.05002;64.8071
8.04974;64.8025
8.04946;64.7979
8.04916;64.7932
8.04888;64.7887
8.04859;64.784
8.04831;64.7795
8.04802;64.7749
8.04773;64.7702
8.04745;64.7657
8.04717;64.7611
8.04687;64.7564
8.04659;64.7518
8.04631;64.7473
8.04602;64.7426
8.04573;64.738
8.04545;64.7335
8.04516;64.7288
8.04488;64.7243
8.0446;64.7197
8.0443;64.715
8.04402;64.7105
8.04373;64.7058
8.04345;64.7012
8.04316;64.6966
8.04288;64.6921
8.04259;64.6874
8.04231;64.6829
8.04201;64.6782
8.04173;64.6736
8.04145;64.6691
8.04116;64.6644
8.04088;64.6599
8.04059;64.6552
8.04031;64.6507
8.04001;64.646
8.03973;64.6415
8.03943;64.6368
8.03915;64.6322
8.03887;64.6277
8.03858;64.623
8.0383;64.6185
8.03801;64.6138
8.03773;64.6093
8.03744;64.6046
8.03716;64.6001
8.03688;64.5955
8.03658;64.5908
8.0363;64.5863
8.03602;64.5817
8.03572;64.5771
8.03544;64.5725
8.03515;64.5679
8.03487;64.5633
8.03458;64.5587
8.0343;64.5541
8.03402;64.5496
8.03372;64.5449
8.03344;64.5403
8.03316;64.5358
8.03286;64.5311
8.03258;64.5266
8.0323;64.522
8.03201;64.5174
8.03172;64.5128
8.03144;64.5082
8.03116;64.5036
8.03086;64.4989
8.03058;64.4944
8.0303;64.4898
8.03;64.4852
8.02972;64.4806
8.02943;64.476
